ï»¿Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34813351,11/19/16 18:44,11/19/16 20:26,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   36 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 2:44,The Police Department responded to the complaint and took action to fix the condition.,11/19/16 20:26,06 MANHATTAN,MANHATTAN,991195,211094,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74607812,-73.97493587,"(40.7460781227927, -73.97493586703608)"
34815302,11/19/16 17:50,11/19/16 20:22,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   34 STREET,1 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 1:50,The Police Department responded to the complaint and took action to fix the condition.,11/19/16 20:22,06 MANHATTAN,MANHATTAN,991591,210258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74378319,-73.97350764,"(40.743783192311035, -73.97350763680087)"
34816978,11/19/16 13:21,11/19/16 14:23,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,10035,517 EAST 117 STREET,EAST 117 STREET,PLEASANT AVENUE,UNNAMED STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/19/16 21:21,The Police Department responded to the complaint and determined that police action was not necessary.,11/19/16 14:23,11 MANHATTAN,MANHATTAN,1002965,229155,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79563377,-73.93240828,"(40.795633766410916, -73.93240828404274)"
34818516,11/19/16 14:34,11/19/16 16:38,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10014,,,,,PERRY STREET,WASHINGTON STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 22:34,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/19/16 16:38,02 MANHATTAN,MANHATTAN,981912,206989,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73481334,-74.00843629,"(40.73481333642229, -74.00843629018753)"
34818876,11/19/16 3:14,11/19/16 4:05,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10002,,,,,EAST HOUSTON STREET,FDR DRIVE,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 11:14,The Police Department reviewed your complaint and provided additional information below.,11/19/16 4:05,03 MANHATTAN,MANHATTAN,991154,201185,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71888038,-73.975094,"(40.718880384388484, -73.97509400155776)"
34842238,11/22/16 17:01,11/22/16 17:13,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10014,,,,,VARICK STREET,CLARKSON STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/23/16 1:01,The Police Department responded to the complaint and determined that police action was not necessary.,11/22/16 17:13,02 MANHATTAN,MANHATTAN,982802,204993,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.729335,-74.00522444,"(40.72933499672677, -74.00522444136838)"
34813047,11/19/16 20:58,11/19/16 23:33,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   34 STREET,1 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 4:58,The Police Department reviewed your complaint and provided additional information below.,11/19/16 23:33,06 MANHATTAN,MANHATTAN,991591,210258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74378319,-73.97350764,"(40.743783192311035, -73.97350763680087)"
34814834,11/20/16 0:08,11/20/16 0:24,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10010,,,,,3 AVENUE,EAST   25 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 8:08,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 0:24,06 MANHATTAN,MANHATTAN,989179,208921,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74011513,-73.9822131,"(40.74011513382139, -73.9822130951929)"
34817232,11/20/16 0:54,11/20/16 1:59,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,,,,,WEST   47 STREET,6 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 8:54,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/20/16 1:59,05 MANHATTAN,MANHATTAN,989294,215445,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7580218,-73.98179321,"(40.7580218047754, -73.98179321024965)"
34819695,11/20/16 0:45,11/20/16 1:58,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   35 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/20/16 8:45,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 1:58,06 MANHATTAN,MANHATTAN,991068,210862,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74544144,-73.97539444,"(40.745441439798356, -73.9753944383944)"
34820715,11/20/16 16:33,11/20/16 16:57,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   34 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/21/16 0:33,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 16:57,06 MANHATTAN,MANHATTAN,990933,210621,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74478006,-73.97588188,"(40.74478005822341, -73.9758818809488)"
34822399,11/20/16 16:56,11/20/16 18:41,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   36 STREET,3 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/21/16 0:56,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 18:41,06 MANHATTAN,MANHATTAN,990571,211433,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74700906,-73.97718753,"(40.74700906072902, -73.9771875308903)"
34823195,11/20/16 17:41,11/20/16 18:42,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   36 STREET,3 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/21/16 1:41,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 18:42,06 MANHATTAN,MANHATTAN,990571,211433,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74700906,-73.97718753,"(40.74700906072902, -73.9771875308903)"
34825619,11/20/16 16:46,11/20/16 17:51,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   34 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/21/16 0:46,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 17:51,06 MANHATTAN,MANHATTAN,990933,210621,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74478006,-73.97588188,"(40.74478005822341, -73.9758818809488)"
34826547,11/20/16 18:53,11/20/16 21:07,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,3 AVENUE,EAST   39 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/21/16 2:53,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 21:07,06 MANHATTAN,MANHATTAN,990944,212117,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74888619,-73.97584069,"(40.74888619413523, -73.97584069430354)"
34854009,11/23/16 17:52,11/23/16 19:14,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,WOOSTER STREET,BROOME STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 1:52,This complaint does not fall under the Police Department's jurisdiction.,11/23/16 19:14,02 MANHATTAN,MANHATTAN,983648,202659,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72292883,-74.00217183,"(40.72292883229737, -74.00217183106368)"
34859685,11/24/16 15:06,11/24/16 19:00,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,CANAL STREET,BROADWAY,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 23:06,This complaint does not fall under the Police Department's jurisdiction.,11/24/16 19:00,01 MANHATTAN,MANHATTAN,983728,201372,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71939633,-74.00188312,"(40.71939633294734, -74.00188311582531)"
34848244,11/23/16 17:34,11/23/16 21:48,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10022,,,,,2 AVENUE,EAST   59 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 1:34,The Police Department responded to the complaint and took action to fix the condition.,11/23/16 21:48,08 MANHATTAN,MANHATTAN,994136,216386,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76060052,-73.96431418,"(40.76060052051626, -73.96431417611583)"
34826548,11/20/16 16:37,11/20/16 21:10,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,MERCER STREET,MERCER STREET,GRAND STREET,BROOME STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/21/16 0:37,The Police Department responded to the complaint and determined that police action was not necessary.,11/20/16 21:10,02 MANHATTAN,MANHATTAN,983958,202217,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72171566,-74.00105343,"(40.72171566481073, -74.00105342712048)"
34845897,11/22/16 21:59,11/22/16 23:19,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10002,103 CANAL STREET,CANAL STREET,ELDRIDGE STREET,FORSYTH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/23/16 5:59,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/22/16 23:19,03 MANHATTAN,MANHATTAN,985895,199977,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71556726,-73.994066,"(40.71556725515368, -73.99406600081592)"
34858924,11/24/16 15:08,11/24/16 16:04,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,BROOME STREET,MERCER STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 23:08,This complaint does not fall under the Police Department's jurisdiction.,11/24/16 16:04,02 MANHATTAN,MANHATTAN,984068,202387,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72218228,-74.00065659,"(40.72218227668545, -74.00065659273379)"
34834652,11/21/16 16:20,11/21/16 17:03,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,10065,EAST 62 STREET,EAST 62 STREET,3 AVENUE,2 AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/22/16 0:20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/21/16 17:03,08 MANHATTAN,MANHATTAN,994196,217245,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76295819,-73.96409632,"(40.762958187246774, -73.96409632122314)"
34838626,11/22/16 14:45,11/22/16 15:39,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,10021,,,,,EAST   72 STREET,YORK AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/22/16 22:45,The Police Department responded to the complaint and took action to fix the condition.,11/22/16 15:39,08 MANHATTAN,MANHATTAN,997062,218665,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76685203,-73.95374775,"(40.766852031168725, -73.9537477543563)"
34839864,11/22/16 18:12,11/22/16 18:27,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,,,,,WEST   43 STREET,11 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/23/16 2:12,The Police Department responded to the complaint and determined that police action was not necessary.,11/22/16 18:27,04 MANHATTAN,MANHATTAN,984854,216712,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76150081,-73.99781969,"(40.76150081329756, -73.99781969164724)"
34857760,11/24/16 14:48,11/24/16 16:03,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,CANAL STREET,WEST SIDE HIGHWAY,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 22:48,This complaint does not fall under the Police Department's jurisdiction.,11/24/16 16:03,01 MANHATTAN,MANHATTAN,981194,203703,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72579385,-74.01102558,"(40.725793851729485, -74.01102558319987)"
34859718,11/24/16 16:15,11/24/16 16:39,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,MERCER STREET,HOWARD STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/25/16 0:15,This complaint does not fall under the Police Department's jurisdiction.,11/24/16 16:39,02 MANHATTAN,MANHATTAN,983634,201716,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72034052,-74.00222225,"(40.72034052405482, -74.00222225245618)"
34842176,11/22/16 9:33,11/22/16 11:37,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   65 STREET,YORK AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/22/16 17:33,The Police Department responded to the complaint and took action to fix the condition.,11/22/16 11:37,08 MANHATTAN,MANHATTAN,996166,217049,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76241778,-73.95698524,"(40.762417782036216, -73.95698524328517)"
34843450,11/22/16 18:10,11/22/16 19:20,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,LAFAYETTE STREET,CANAL STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/23/16 2:10,The Police Department responded to the complaint and determined that police action was not necessary.,11/22/16 19:20,01 MANHATTAN,MANHATTAN,984103,201020,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71843019,-74.0005303,"(40.71843019177559, -74.00053029504515)"
34843469,11/22/16 13:13,11/22/16 14:17,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10128,EAST 87 STREET,EAST 87 STREET,PARK AVENUE,LEXINGTON AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/22/16 21:13,The Police Department responded and upon arrival those responsible for the condition were gone.,11/22/16 14:17,08 MANHATTAN,MANHATTAN,996477,223633,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78048872,-73.95585061,"(40.78048871686178, -73.95585060701767)"
34844637,11/22/16 12:56,11/22/16 16:52,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10002,,,,,EAST BROADWAY,PIKE STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/22/16 20:56,The Police Department responded to the complaint and took action to fix the condition.,11/22/16 16:52,03 MANHATTAN,MANHATTAN,986267,199349,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71384347,-73.99272428,"(40.71384346822521, -73.99272427548813)"
34847094,11/22/16 17:13,11/22/16 17:55,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,,,,,WEST   44 STREET,11 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/23/16 1:13,The Police Department responded to the complaint and determined that police action was not necessary.,11/22/16 17:55,04 MANHATTAN,MANHATTAN,984974,216940,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76212661,-73.99738649,"(40.762126605681814, -73.99738649324702)"
34847109,11/22/16 19:53,11/23/16 2:14,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,,,,VAN DAM STREET,VARICK STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/23/16 3:53,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/23/16 2:14,02 MANHATTAN,MANHATTAN,982682,203937,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72643651,-74.00565716,"(40.726436513743664, -74.00565716006021)"
34848209,11/23/16 16:45,11/23/16 17:55,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10014,,,,,WEST HOUSTON STREET,VARICK STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/24/16 0:45,This complaint does not fall under the Police Department's jurisdiction.,11/23/16 17:55,02 MANHATTAN,MANHATTAN,982777,204727,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72860489,-74.00531458,"(40.728604887563456, -74.00531458413064)"
